path,pid,camid,split,category,domain,object_noun,eval_protocol,session_id,shot_id,frame_id,source_group,query_group,augmentation
image_train/0001_c001_00016450_0.jpg,1,0,train,vehicle,veri,vehicle,veri776,c1,,,0001_c001_00016450_0,,
image_train/0001_c001_00016460_0.jpg,1,0,train,vehicle,veri,vehicle,veri776,c1,,,0001_c001_00016460_0,,
image_train/0001_c001_00016470_0.jpg,1,0,train,vehicle,veri,vehicle,veri776,c1,,,0001_c001_00016470_0,,
image_train/0001_c001_00016480_0.jpg,1,0,train,vehicle,veri,vehicle,veri776,c1,,,0001_c001_00016480_0,,
image_train/0001_c001_00016490_0.jpg,1,0,train,vehicle,veri,vehicle,veri776,c1,,,0001_c001_00016490_0,,
image_train/0001_c001_00016500_0.jpg,1,0,train,vehicle,veri,vehicle,veri776,c1,,,0001_c001_00016500_0,,
image_train/0001_c002_00016885_0.jpg,1,1,train,vehicle,veri,vehicle,veri776,c2,,,0001_c002_00016885_0,,
image_train/0001_c002_00016895_0.jpg,1,1,train,vehicle,veri,vehicle,veri776,c2,,,0001_c002_00016895_0,,
image_train/0001_c002_00016905_0.jpg,1,1,train,vehicle,veri,vehicle,veri776,c2,,,0001_c002_00016905_0,,
image_train/0001_c002_00016915_0.jpg,1,1,train,vehicle,veri,vehicle,veri776,c2,,,0001_c002_00016915_0,,
image_train/0001_c002_00016945_0.jpg,1,1,train,vehicle,veri,vehicle,veri776,c2,,,0001_c002_00016945_0,,
image_train/0001_c002_00016955_0.jpg,1,1,train,vehicle,veri,vehicle,veri776,c2,,,0001_c002_00016955_0,,
image_train/0001_c012_00014680_0.jpg,1,11,train,vehicle,veri,vehicle,veri776,c12,,,0001_c012_00014680_0,,
image_train/0001_c012_00014685_0.jpg,1,11,train,vehicle,veri,vehicle,veri776,c12,,,0001_c012_00014685_0,,
image_train/0001_c012_00014690_0.jpg,1,11,train,vehicle,veri,vehicle,veri776,c12,,,0001_c012_00014690_0,,
image_train/0001_c012_00014695_0.jpg,1,11,train,vehicle,veri,vehicle,veri776,c12,,,0001_c012_00014695_0,,
image_train/0001_c012_00014700_0.jpg,1,11,train,vehicle,veri,vehicle,veri776,c12,,,0001_c012_00014700_0,,
image_train/0001_c012_00014705_0.jpg,1,11,train,vehicle,veri,vehicle,veri776,c12,,,0001_c012_00014705_0,,
image_train/0001_c013_00014770_0.jpg,1,12,train,vehicle,veri,vehicle,veri776,c13,,,0001_c013_00014770_0,,
image_train/0001_c013_00014790_0.jpg,1,12,train,vehicle,veri,vehicle,veri776,c13,,,0001_c013_00014790_0,,
image_train/0001_c013_00014800_0.jpg,1,12,train,vehicle,veri,vehicle,veri776,c13,,,0001_c013_00014800_0,,
image_train/0001_c013_00014810_0.jpg,1,12,train,vehicle,veri,vehicle,veri776,c13,,,0001_c013_00014810_0,,
image_train/0001_c013_00014815_0.jpg,1,12,train,vehicle,veri,vehicle,veri776,c13,,,0001_c013_00014815_0,,
image_train/0001_c013_00014825_0.jpg,1,12,train,vehicle,veri,vehicle,veri776,c13,,,0001_c013_00014825_0,,
image_train/0001_c014_00013130_0.jpg,1,13,train,vehicle,veri,vehicle,veri776,c14,,,0001_c014_00013130_0,,
image_train/0001_c014_00013135_0.jpg,1,13,train,vehicle,veri,vehicle,veri776,c14,,,0001_c014_00013135_0,,
image_train/0001_c014_00013140_0.jpg,1,13,train,vehicle,veri,vehicle,veri776,c14,,,0001_c014_00013140_0,,
image_train/0001_c014_00013145_0.jpg,1,13,train,vehicle,veri,vehicle,veri776,c14,,,0001_c014_00013145_0,,
image_train/0001_c014_00013150_0.jpg,1,13,train,vehicle,veri,vehicle,veri776,c14,,,0001_c014_00013150_0,,
image_train/0001_c014_00013175_0.jpg,1,13,train,vehicle,veri,vehicle,veri776,c14,,,0001_c014_00013175_0,,
image_train/0001_c015_00013200_0.jpg,1,14,train,vehicle,veri,vehicle,veri776,c15,,,0001_c015_00013200_0,,
image_train/0001_c015_00013205_0.jpg,1,14,train,vehicle,veri,vehicle,veri776,c15,,,0001_c015_00013205_0,,
image_train/0001_c015_00013210_0.jpg,1,14,train,vehicle,veri,vehicle,veri776,c15,,,0001_c015_00013210_0,,
image_train/0001_c015_00013215_0.jpg,1,14,train,vehicle,veri,vehicle,veri776,c15,,,0001_c015_00013215_0,,
