path,original_pid,source_dataset,camid
iPanda50/00_aibang/00_v001_f000455.jpg,00,ipanda50,0
iPanda50/00_aibang/00_v001_f000765.jpg,00,ipanda50,0
iPanda50/00_aibang/00_v001_f000945.jpg,00,ipanda50,0
iPanda50/00_aibang/00_v002_f000690.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f001250.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f001340.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f001425.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f001500.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f002095.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f002930.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f003980.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v002_f004160.jpg,00,ipanda50,1
iPanda50/00_aibang/00_v003_f000405.jpg,00,ipanda50,2
iPanda50/00_aibang/00_v003_f000440.jpg,00,ipanda50,2
iPanda50/00_aibang/00_v003_f000650.jpg,00,ipanda50,2
iPanda50/00_aibang/00_v003_f002620.jpg,00,ipanda50,2
iPanda50/00_aibang/00_v004_f000100.jpg,00,ipanda50,3
iPanda50/00_aibang/00_v004_f000485.jpg,00,ipanda50,3
iPanda50/00_aibang/00_v005_f000280.jpg,00,ipanda50,4
iPanda50/00_aibang/00_v005_f001295.jpg,00,ipanda50,4
iPanda50/00_aibang/00_v005_f002180.jpg,00,ipanda50,4
iPanda50/00_aibang/00_v006_f000305.jpg,00,ipanda50,5
iPanda50/00_aibang/00_v006_f001225.jpg,00,ipanda50,5
iPanda50/00_aibang/00_v007_f000115.jpg,00,ipanda50,6
iPanda50/00_aibang/00_v007_f003230.jpg,00,ipanda50,6
iPanda50/00_aibang/00_v007_f004345.jpg,00,ipanda50,6
iPanda50/00_aibang/00_v008_f000025.jpg,00,ipanda50,7
iPanda50/00_aibang/00_v008_f000275.jpg,00,ipanda50,7
iPanda50/00_aibang/00_v009_f003120.jpg,00,ipanda50,8
iPanda50/00_aibang/00_v010_f001800.jpg,00,ipanda50,9
iPanda50/00_aibang/00_v010_f003780.jpg,00,ipanda50,9
iPanda50/00_aibang/00_v011_f000600.jpg,00,ipanda50,10
iPanda50/00_aibang/00_v012_f000830.jpg,00,ipanda50,11
iPanda50/00_aibang/00_v013_f000310.jpg,00,ipanda50,12
iPanda50/00_aibang/00_v013_f000695.jpg,00,ipanda50,12
iPanda50/00_aibang/00_v013_f000975.jpg,00,ipanda50,12
iPanda50/00_aibang/00_v014_f000270.jpg,00,ipanda50,13
iPanda50/00_aibang/00_v014_f002070.jpg,00,ipanda50,13
iPanda50/00_aibang/00_v015_f000060.jpg,00,ipanda50,14
iPanda50/00_aibang/00_v015_f002760.jpg,00,ipanda50,14
iPanda50/00_aibang/00_v017_f000510.jpg,00,ipanda50,15
iPanda50/00_aibang/00_v017_f007055.jpg,00,ipanda50,15
iPanda50/00_aibang/00_v018_f000230.jpg,00,ipanda50,16
iPanda50/00_aibang/00_v019_f000195.jpg,00,ipanda50,17
iPanda50/00_aibang/00_v020_f000015.jpg,00,ipanda50,18
iPanda50/00_aibang/00_v020_f000525.jpg,00,ipanda50,18
iPanda50/00_aibang/00_v020_f000990.jpg,00,ipanda50,18
iPanda50/00_aibang/00_v021_f000455.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f001130.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f001515.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f001650.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f002355.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f002550.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f003255.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f003330.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f003605.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f004155.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f004380.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f004505.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f004680.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f004755.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f005270.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f005475.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f005530.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f005875.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f006900.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v021_f007095.jpg,00,ipanda50,19
iPanda50/00_aibang/00_v022_f000445.jpg,00,ipanda50,20
iPanda50/00_aibang/00_v022_f001595.jpg,00,ipanda50,20
iPanda50/00_aibang/00_v024_f000005.jpg,00,ipanda50,21
iPanda50/00_aibang/00_v025_f000325.jpg,00,ipanda50,22
iPanda50/00_aibang/00_v025_f001125.jpg,00,ipanda50,22
iPanda50/00_aibang/00_v026_f001850.jpg,00,ipanda50,23
iPanda50/00_aibang/00_v026_f003850.jpg,00,ipanda50,23
iPanda50/00_aibang/00_v026_f004005.jpg,00,ipanda50,23
iPanda50/00_aibang/00_v026_f004320.jpg,00,ipanda50,23
iPanda50/00_aibang/00_v026_f004575.jpg,00,ipanda50,23
iPanda50/00_aibang/00_v026_f004725.jpg,00,ipanda50,23
iPanda50/00_aibang/00_v027_f000075.jpg,00,ipanda50,24
iPanda50/00_aibang/00_v027_f000230.jpg,00,ipanda50,24
iPanda50/00_aibang/00_v028_f001080.jpg,00,ipanda50,25
iPanda50/00_aibang/00_v028_f001320.jpg,00,ipanda50,25
iPanda50/00_aibang/00_v029_f000170.jpg,00,ipanda50,26
iPanda50/00_aibang/00_v029_f005610.jpg,00,ipanda50,26
iPanda50/00_aibang/00_v029_f005950.jpg,00,ipanda50,26
iPanda50/00_aibang/00_v030_f000005.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f000080.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f000110.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f000165.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f000195.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f000205.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f000335.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f001480.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f002805.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v030_f004605.jpg,00,ipanda50,27
iPanda50/00_aibang/00_v031_f000895.jpg,00,ipanda50,28
iPanda50/00_aibang/00_v032_f000005.jpg,00,ipanda50,29
iPanda50/00_aibang/00_v032_f001450.jpg,00,ipanda50,29
iPanda50/00_aibang/00_v032_f001665.jpg,00,ipanda50,29
iPanda50/00_aibang/00_v033_f000550.jpg,00,ipanda50,30
iPanda50/00_aibang/00_v033_f000830.jpg,00,ipanda50,30
iPanda50/00_aibang/00_v033_f002005.jpg,00,ipanda50,30
iPanda50/00_aibang/00_v034_f000005.jpg,00,ipanda50,31
iPanda50/00_aibang/00_v034_f000030.jpg,00,ipanda50,31
iPanda50/00_aibang/00_v034_f000105.jpg,00,ipanda50,31
iPanda50/00_aibang/00_v034_f000650.jpg,00,ipanda50,31
iPanda50/00_aibang/00_v034_f000755.jpg,00,ipanda50,31
iPanda50/00_aibang/00_v035_f000075.jpg,00,ipanda50,32
iPanda50/00_aibang/00_v038_f001360.jpg,00,ipanda50,33
